document_count,evaluation_method,scoring_type,field_name,stats_name,tp,fp,fn,tn,accuracy,precision,recall,f1,jaccard
10,exact,partial_list,figure_labels,None,0,20,8,3673,0.9924344771683329,0.0,0.0,0,0.0
10,exact,partial_list,figure_captions,None,4,22,8,3667,0.9918940826803566,0.15384615384615385,0.3333333333333333,0.21052631578947367,0.11764705882352941
10,exact,partial_list,figure_label_captions,None,0,26,8,3667,0.9908132937044042,0.0,0.0,0,0.0
10,exact,partial_list,back_section_paragraphs,None,4,5,7,3685,0.9967576330721427,0.4444444444444444,0.36363636363636365,0.39999999999999997,0.25
10,exact,partial_list,reference_text,None,1,188,4,3508,0.9481221291542826,0.005291005291005291,0.2,0.010309278350515464,0.0051813471502590676
10,exact,partial_list,reference_author_surnames,None,38,141,4,3518,0.9608213996217239,0.2122905027932961,0.9047619047619048,0.3438914027149321,0.20765027322404372
10,exact,partial_list,reference_author_given_names,None,37,143,3,3518,0.9605512023777357,0.20555555555555555,0.925,0.33636363636363636,0.20218579234972678
10,exact,partial_list,reference_author_full_names,None,35,145,3,3518,0.9600108078897596,0.19444444444444445,0.9210526315789473,0.3211009174311927,0.1912568306010929
10,exact,partial_list,reference_title,None,83,38,10,3570,0.9870305322885706,0.6859504132231405,0.8924731182795699,0.7757009345794392,0.6335877862595419
10,exact,partial_list,reference_year,None,97,77,9,3518,0.9767630370170224,0.5574712643678161,0.9150943396226415,0.6928571428571428,0.5300546448087432
10,exact,partial_list,reference_source,None,91,85,7,3518,0.9751418535530938,0.5170454545454546,0.9285714285714286,0.6642335766423358,0.4972677595628415
10,exact,partial_list,reference_publication_type,None,118,58,11,3514,0.9813563901648203,0.6704545454545454,0.9147286821705426,0.7737704918032787,0.6310160427807486
10,exact,partial_list,reference_volume,None,88,75,9,3529,0.9773034315049987,0.5398773006134969,0.9072164948453608,0.676923076923077,0.5116279069767442
10,exact,partial_list,reference_fpage,None,86,81,10,3524,0.9754120507970818,0.5149700598802395,0.8958333333333334,0.6539923954372623,0.4858757062146893
10,exact,partial_list,reference_lpage,None,27,140,10,3524,0.9594704134017833,0.16167664670658682,0.7297297297297297,0.2647058823529412,0.15254237288135594
10,exact,partial_list,reference_doi,None,0,0,0,3701,1.0,0,0,0,0
10,exact,partial_list,reference_pmid,None,0,0,106,3595,0.9713590921372602,0,0.0,0,0.0
10,exact,partial_list,reference_pmcid,None,0,0,0,3701,1.0,0,0,0,0
10,exact,partial_list,None,micro,None,None,None,None,0.9819305593082951,0.35877862595419846,0.7423494570582428,0.48375683499517524,0.31904963937208314
10,exact,partial_list,None,macro,None,None,None,None,0.981930559308295,0.23624294369384838,0.5065632631827041,0.3015107933037586,0.21451998402083805
10,levenshtein,partial_list,affiliation_text,None,0,0,23,3416,0.9933120093050305,0,0.0,0,0.0
10,levenshtein,partial_list,body_section_titles,None,38,35,8,3358,0.9874963652224484,0.5205479452054794,0.8260869565217391,0.6386554621848739,0.4691358024691358
10,levenshtein,partial_list,table_strings,None,4,14,8,3413,0.9936027915091596,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.15384615384615385
